Name,Price,Kilometers,Fuel Type,Transmission
2014 Hyundai i10 MAGNA 1.1,₹2.13 lakh,28.66k km,Petrol,Manual
2014 Hyundai i20 SPORTZ 1.2,₹2.82 lakh,77.55k km,Petrol,Manual
2012 Hyundai i20 SPORTZ 1.2,₹2.35 lakh,54.32k km,Petrol,Manual
2018 Honda BR-V 1.5L I-VTEC S,₹6.30 lakh,29.81k km,Petrol,Manual
2019 Renault Kwid CLIMBER 1.0 AMT,₹3.48 lakh,15.48k km,Petrol,Auto
2022 Nissan MAGNITE XE,₹4.47 lakh,13.46k km,Petrol,Manual
2015 Hyundai Elite i20 SPORTZ 1.2,₹3.84 lakh,46.68k km,Petrol,Manual
2017 Maruti Ciaz ZETA 1.4  MT PETROL,₹4.25 lakh,63.31k km,CNG,Manual
2014 Renault Duster RXE PETROL,₹3.50 lakh,57.04k km,Petrol,Manual
2020 Renault Kwid RXL,₹2.96 lakh,51.58k km,Petrol,Manual
2016 Mahindra TUV300 T6 PLUS,₹4.84 lakh,67.18k km,Diesel,Manual
2016 Honda Amaze 1.2L I-VTEC S AT,₹3.63 lakh,53.66k km,Petrol,Auto
2014 Maruti Wagon R 1.0 LXI CNG,₹2.27 lakh,70.70k km,CNG,Manual
2016 Hyundai Grand i10 ASTA (O) AT 1.2 KAPPA VTVT,₹4.16 lakh,24.67k km,Petrol,Auto
2015 Honda Jazz 1.2L I-VTEC V AT,₹3.78 lakh,76.30k km,Petrol,Auto
2017 Datsun Go Plus T,₹2.25 lakh,42.92k km,Petrol,Manual
2015 Honda City 1.5L I-VTEC VX CVT,₹4.26 lakh,1.0L km,Petrol,Auto
2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,₹3.22 lakh,94.44k km,Petrol,Manual
2017 Tata Tiago XT PETROL,₹3.00 lakh,73.18k km,Petrol,Manual
2017 Maruti Celerio ZXI,₹3.18 lakh,91.09k km,Petrol,Manual
